Category,label_new,lable_detail,Question,Context,Answer,
8,28, Alternative Disinfection,Can the heat from a hand dryer kill coronavirus?,"To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. Study on MERS coronavirus and HCoV-229E: ""rapidly lost most of the infectivity in fasted-state simulated gastric fluid (FaSSGF; pH 2.0)"" but ""survived FeSSGF"" (fed state, which is less acidic). Hand dryers can’t kill coronavirus, according to WHO. Drinking hot water or taking hot baths won’t kill it, either. If you consume a lot of alcohol, it can make you drowsy and can compromise your immunity. Experts say that this might make you aspirate and that will make you susceptible to viruses. FSIS Cleaning Regulations 5 Steps of cleaning and disinfection. So partly this depends on how sanitized you want things to be.  For my part, I just clean my counters with a mixture of Simple Green (a concentrated organic soap) and water.  If you're really concerned, you could do a second washing with a weak bleach solution. Cleaning should precede disinfection. Disinfection is biocidal elimination on fomite surfaces of microorganisms, in this instance SARS-CoV-2. After applying disinfecting dilution be sure to allow it adequate action time and then allow surface to air dry. When CDC says to use “5 tablespoons (aka 1/3 cup) bleach per gallon of water”. Now, the CDC “recommends wearing cloth face coverings in public settings where other social distancing measures are difficult to maintain.”  The public should NOT buy surgical masks or N95 respirator masks. Instead, make your own cloth mask. US Surgeon General Jerome Adams shows how to make face masks with just a T-shirt and rubber bands in this CDC video. The main benefit of wearing masks in public isn’t to protect you from getting sick. As Covid-19 is spread through droplets, it can reach us through the air. Therefore, maintain social distancing, which means remaining 6 feet away from others.  Ideally, you shouldn't touch any surface on which droplets may have landed. The best way to protect yourself from exposed surfaces is to wash your hands frequently with soap and water for a count of 20. Self-isolate  only applies to those who have recently come back from overseas, or if you've been in contact with someone who tested positive for COVID-19. But if you are one of those people who has to self-isolate, it means that you should avoid all other public gatherings. The No 1 thing you can do to protect yourself from coronavirus infection is to wash your hands, often and thoroughly.And avoid big gatherings. If you rely on public transportation, use caution. If you’re sick or live in an area where an outbreak has been reported, avoid it. Mass transit could increase your risk of exposure to coronavirus. If you can, you should stay home from work when you’re sick, whether or not you have coronavirus. Many companies are increasingly flexible with work from home policies. If your company is allowing employees to work from home, consider it. Spain itself does not seem particularly risky, it's not the country most impacted in Europe. If you want to safely take care of someone who's sick, Asking the sick person to wear a face mask. If the mask causes breathing difficulties, then the caretaker should wear a mask instead. If your child is worried about the coronavirus, listen to him or her, rather than respond with comments like, “It’ll be fine.” Dismissive reactions can make children feel like they’re not being heard. While there have been suggestions that a regular flu shot can help protect individuals against COVID-19, Bogoch said that’s not true.",can’t kill the virus,
8,28, Alternative Disinfection,Does drinking alcohol kill coronavirus?,,make you susceptible to viruses,
8,28, Alternative Disinfection,How to properly disinfect surfaces,,mixture of Simple Green (a concentrated organic soap) and water,
8,28, Alternative Disinfection,Ratio of bleach to water required to disinfect COVID-19?,,5 tablespoons (aka 1/3 cup) bleach per gallon of water,
8,29, Facemask,Can stomach acid destroy a virus?,,,
8,29, Facemask,"Should I wear a face mask in public? If so, how do I make one?",,make face masks with just a T-shirt and rubber bands in this CDC video,
8,29, Facemask,Should people be wearing masks in public?,,recommends wearing cloth face coverings in public settings,
8,30, General,How to protect yourself from Covid-19,,maintain social distancing,
8,30, General,What are the rules of self-isolation?,,avoid all other public gatherings,
8,30, General,What can you do to protect yourself?,,wash your hands,
8,31, Going Outside,Is traveling to Spain safe during the COVID-19 outbreak?,,not seem particularly risky,
8,31, Going Outside,Should I avoid big gatherings like parties or weddings?,,Avoid big gatherings,
8,31, Going Outside,Should I avoid public transportation?,,use caution,
8,31, Going Outside,Should I go to work?,,"If your company is allowing employees to work from home, consider it",
8,32, Hand Sanitizer,Is the washing hands in order to protect yourself from COVID-19 backed up by research?,,The No 1 thing you can do to protect yourself from coronavirus infectio,
8,33, Household Preparation,How do I safely take care of someone who’s sick?,,Asking the sick person to wear a face mask,
8,33, Household Preparation,My kids are scared. What can I tell them?,,listen to him or her,
8,34, Vaccine,"Do previous immunizations, such as the flu shot, help protect against COVID-19?",,that’s not true,
8,34, Vaccine,"Is there a vaccine, drug or treatment for COVID-19?",,no vaccine and no specific antiviral medicine,
9,35, Accuracy,Prediction model for spread of coronavirus,"The original R0 calculation was developed in the early 1900s to model malaria transmission and is known as the Ross-MacDonald model so your idea is over 100 years old. One thing R0 of COVID-19 will identify is the latent period transmission which occurs before the symptoms, i.e. the incubation period. Essentially, people with cough/mild symptoms before they self isolate and become really ill with a lung infection will transmit the virus. In this context R0 will be/was very influential for understanding when to move between quarantine and containment phases of the pandemic. The World Health Organization (WHO) has reported at least 81,191 cases of coronavirus as of Wednesday morning. Of the 81,191 confirmed cases, 2,768 people have died, a mortality rate of about 3 percent.  It's people that are already seriously ill or already have weak immune systems that are most likely to die soon after contracting Covid-19.  And it's when people are clustered in a close community that they are most likely to contract the disease. Ages range of U.S. deaths from COVID-19 from an infant less than one year old to people intheir 90s, according to state and local health departments. When people talk about the mortality rate of a disease, what they usually mean is the case fatality rate or the death-to-case ratio, which is simply defined as Nd /  Ni, where  Nd is the number of deaths attributed to the disease over a given time period and Ni is the total number of new cases of the disease observed during the same time period.  By this definition, the current case fatality rate of 2019-nCov according to your quoted figures is 362 / 17491 ≈ 2.07%. If you want to forecast COVID19 through package R, you can force ets() to use a model with multiplicative trend (and multiplicative error) by using the parameter model=""MMN"". The main comprehensive public dataset we have available for the COVID-19 virus is the data held and updated by the John Hopkins Coronavirus Resource Centre at John Hopkins University.  This is the repository of data that is being used for the vast majority of media reports and data visualisations on the spread of COVID-19.  The database has data on confirmed infections, recoveries, and deaths, plus GIS data on where these occurred.  The data is sourced from the WHO and various national health departments, and it is being updated frequently. Google has published statistics that is compare between US regions the degree of social distancing as a function of the outbreak severity at a per-state level for the United States. ",R0 calculation,
9,35, Accuracy,Detailed description/scripts of mathematical models for Coronavirus,,R0 calculation,
9,35, Accuracy,Choosing the right forecast model for exponential data (COVID19) forecast package R,, ets() ,
9,36, Deaths,How many people are infected?,,"at least 81,191 ",
9,36, Deaths,How deadly is the virus?,,about 3 percent,
9,36, Deaths,Are countries with lower life expectancy expected to have lower death rates due to Coronavirus?,,they are most likely to contract the disease,
9,36, Deaths,What is the age range of U.S. deaths from COVID-19?,,from an infant less than one year old to people intheir 90s,
9,36, Deaths,Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,,362 / 17491 ≈ 2.07%,
9,36, Deaths,Recent mortality,,about 3 percent,
9,37, Situation,Can stats regarding the Coronavirus outbreak tell us anything at all?,,"confirmed infections, recoveries, and deaths, plus GIS data on where these occurred",
9,37, Situation,Is there data comparing between US regions the degree of social distancing as a function of the outbreak severity?,,Google,
10,38, Education,How to ask for excused absences or switching to online class,"Most institutions, such as universities, will also have issued official advice which you should also read and follow. Schools are closed for different lengths of time, and it's unclear when it will be safe to go back. It’s likely that the coronavirus pandemic will have a major impact on your daily life in the short term. Mass events will be cancelled, sporting games will be played to empty stadiums, and it’s likely that at some point your workplace might ask you to work from home. Journals are ways of disseminating scientific information, and they do take into account what is of current interest like COVID-19. This current emergency can be considered to be an opportunity to rethink everything we do toward finding better ways to educate people. We are forced to act and the old ways don't work in a new environment. We should be looking for new ways. In online learning platform given COVID-19 pandemic,it seems that pretty much everything must now be done in virtual space. And, this is hard to arrange in the short term. But in addition to videos, there is the possibility of software to provide hands-on simulation in some cases. Germany border restricted for EU nationals Covid19, But you would potentially be allowed to enter. If you are not married to your partner, her picking you up will only help mildly, as they cannot easily check if you are family. You can, however, bring your work contract to prove that you have to start there on day X. There is also a question of politics and timing : on Thursday morning all parties in French goverment asked that it be maintained, so they had to decide that. Politically it was too late, cancelling the elections would go against advice given by all parties on Thursday morning. Since Macron was expected to lose the elections, cancelling the election after every other party expressed against it would have been seen as an antidemocratic political maneuver. Right now, as Covid-19 is on-going, they can't do very much to prepare for a hypothetical Covid-??. However, once the Covid-19 situation has ended, then it would be vital to do a thorough analysis of what worked, and didn't work in the Covid-19 situation. In general if a government (or an airline) doesn't stop travellers or planes, you will have no direct refund. It means that both think that there is no danger. So usually it is recommended to have a travel insurance. The rights created by the First Amendment are not absolute. They are subject to reasonable restrictions as to time, place and manner, especially if those restrictions are content neutral. In the most recent polls I found from March 26: About seven-in-ten adults (71%) say that to address the coronavirus, it is necessary to require most businesses other than grocery stores or pharmacies to close. Several states have already postponed their primaries. Officials in states that are going ahead with primaries have been trying to emphasize the new basics of voting hygiene, like using hand sanitizer at polling stations. People with fever will not be allowed to board. Therefore, it's advised that you follow basic prevention measures, such as washing your hands, avoiding touching your eyes, nose or mouth, cover your mouth when you cough or sneeze, wear a mask, etc. Trump has never had better ratings. The last few weeks is the first time since March 2017 his approval has been higher than his disapproval.",have issued official advice,
10,38, Education,"In this time of crisis, would the journals Nature and Science prioritize papers about COVID-19?",,take into account what is of current interest.,
10,38, Education,My school is closed. When will it reopen?,,unclear,
10,38, Education,Will schools and workplaces be shut down?,,it’s likely that at some point your workplace might ask you to work from home,
10,38, Education,Tips for transition to online classrooms given university shutdowns in response to COVID-19,,looking for new ways,
10,38, Education,How should faculty implement STEM classes that require hands-on lab experience in online learning platforms given COVID-19 pandemic?,,software to provide hands-on simulation,
10,39, General,Germany border restrictions for EU nationals Covid 19,,potentially be allowed to enter,
10,39, General,How does the US COVID-19 travel ban apply to the EU spouse of a US citizen?,,potentially be allowed to enter,
10,39, General,Why did the French government not cancel elections because of Covid-19?,,it was too late,
10,39, General,What can governments do right now to prepare for the next global pandemic?,,can't do very much to prepare,
10,41,Trump,How has the handling of the coronavirus outbreak (CoViD-19) affected Donald Trump's approval ratings?,,never had better ratings,
10,40, Responsibilty,Airfare refunds for coronavirus,,no direct refund,
10,42, US Politics,Is the banning of large events in the USA constitutional?,,"subject to reasonable restrictions as to time, place and manner",
10,42, US Politics,"Are there any surveys in the US on whether ""preserving the American way"" is worth the risk of sacrificing their elderly to COVID-19?",,"About seven-in-ten adults (71%) say that to address the coronavirus, it is necessary to require most businesses other than grocery stores or pharmacies to close",
10,42, US Politics,How is this going to affect the 2020 election?,,already postponed their primaries,
10,43, Personal Experience,Coronavirus affected co-passenger; what to do?,,basic prevention measures,
11,44, Fear,How worried should I be about getting sick?,"Everyone should be concerned about contracting the new coronavirus — if not for yourself, then to protect others who are at risk of becoming severely ill. Experts have warned about the risk that if tough measures are taken too soon, “fatigue” may set in, prompting the public to disregard the advice just as coronavirus reaches its peak. While the W.H.O. is supposed to coordinate the global response to epidemics, the group, a U.N. agency, doesn’t have the authority to force countries to follow its plan.  Culture and government also play a role. Governments worldwide have made major mistakes in trying to contain the outbreak. But as the virus spreads, South Korea, Singapore and China have been more effective than others at bringing it under control. South Korea has adopted a highly technical and transparent approach to Covid-19.  By sharing where infected people have been, citizens can see if they have been in contact or near contact with the infected person, and then request a test. At the moment, the federal government is doing a lot of warning. The CDC has produced two dozen guidance documents for hospitals, instructions for preparedness and infection control. Crucially, they are offering guidance on preserving personal protection equipment in a recognition that a widespread outbreak is likely to impact already-low supplies. While the declaration of a PHEIC is applicable globally, the temporary recommendations issued as a result of the declaration are not required to be, and in general, aren't. Philippines and Peru decide ban outbound international flights during pandemics. Americans have grown accustomed to “just-in-time” ordering. But that becomes a huge problem when international supply chains are disrupted by an outbreak. Therefore, US doesn't have enough medical supplies to handle this outbreak. Experts say the reason of US so far behind other countries with testing is due to cuts in federal funding for public health and problems with early testing. Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. The coronavirus relief bill is not yet law, and the IRS has yet to provide information about how it plans to implement the provision about the rebates. Will the hospitals remain open? Yes. Hospitals will operate normally. If you want to find the data or any project related with COVID-19, I recommend this github project from the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE). ",Everyone should be concerned about contracting the new coronavirus,
11,44, Fear,Should I worry about COVID-19?,,Everyone should be concerned about contracting the new coronavirus,
11,45, Politics,What is the rationale behind delaying the imposition of more radical Covid-19 countermeasures?,,“fatigue” may set in,
11,46, Status,Why is every country responding so differently?,,Culture and government ,
11,46, Status,Is there a country that’s really handled this well?,,"South Korea, Singapore and China",
11,46, Status,What is the U.S. government doing to combat the virus?,,ffering guidance on preserving personal protection equipment,
11,46, Status,"Is South Korea doing ""random"" testing to combat covid-19 epidemic?",,adopted a highly technical and transparent approach,
11,46, Status,Is a WHO PHEIC declaration per-area/per-country or is it always of global effect?,,applicable globally,
11,46, Status,Which countries don't let foreigners leave during pandemics?,,Philippines and Peru,
11,47, Support,Why doesn’t the US have enough medical supplies to handle this outbreak?,,“just-in-time” ordering,
11,47, Support,Why is the US so far behind other countries with testing?,,cuts in federal funding for public health,
11,47, Support,Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading,,Self-isolate by staying at home,
11,47, Support,What are areas where IRS guidance might be helpful?,,yet to provide information,
11,47, Support,Will the hospitals remain open?,,Hospitals will operate normally,
11,48, Technic,Are there any projects to work on the Internet to fight against COVID?,,this github project from the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE),
11,48, Technic,Where to find a database containing COVID-19 information?,,this github project from the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE),
12,49, Pandemic Duration,Are there any projections to estimate the spread of COVID-19 and a timeline of its passing?,"Scientists are working on new technologies to try and develop a vaccine for COVID-19. The World Health Organisation said the first vaccines targeting the disease could take 18 months to develop, which would mean August, 2021. I mean, how much we may be slowing the spread here is masked by the significant increase in cases each day. So you know, as testing expands, we're going to get this increase in cases. Hard to see the progress here - it's likely going to be much, much longer before life feels like normal again, right? I mean, many schools have extended closures. There'll be lots of distance learning going on. Summer or humidity can't kill Covid-19. We have seen tropical countries like Singapore report a good number of cases despite humidity. During summers, people generally spend more time indoors and in air-conditioned spaces, where the temperature is low. This can instead spread the virus. Since we still don't know how this pandemic will play out in India, practicing social distancing is the best option.",new technologies to try and develop a vaccine for COVID-19,
12,49, Pandemic Duration,How long will the coronavirus last?,,Hard to see the progress here,
12,49, Pandemic Duration,So when might things begin to get back to normal?,,Hard to see the progress here,
12,49, Pandemic Duration,Will summer or humidity kill Covid-19?,,can't kill,
13,50, Accuracy,How soon after exposure can you test positive?,"We do know that someone infected with coronavirus may begin showing symptoms anywhere between one and 14 days after catching the virus, most commonly around five days, according to the WHO. The CDC (Centers for Disease Control) and the FDA (Food and Drug Administration) are both US federal agencies that have overlapping authority over medical testing in the US. In general federal rules prevail over state rules, so the CDC can stop the state of New York from testing for COVID-19 if the CDC has not approved the testing protocol. The CDC covers the cost of COVID-19 testing itself, however, this may not be the only type of cost incurred. There are two general categories of tests typically used for identifying viral infections: those based on viral genetic material and those based on host immune response. If you’re sick and you think you’ve been exposed to the new coronavirus, the CDC recommends that you call your healthcare provider and explain your symptoms and fears. They will decide if you need to be tested. Your doctor will tell you if you need to get tested. Not sure if you should get tested? The CDC website features a ""self-checker"" to help you make decisions about seeking medical care. Testing methods may include a blood test, a swab test inside your nose or in the back of your throat, or a sputum test, which examines a mix of saliva and mucus. China has been using antibody testing to see if people had been exposed in their convalescent phase. The USA didn't want to do antibody testing and have wanted to recover virus using a PCR test, but PCR won't show historical infection. Tests are limited and most state does not have formal criteria for determining who should be tested, meaning guidelines vary from province to province. Health-care workers are generally advised to prioritize testing only those who are showing symptoms of COVID-19. Testing positive means that you have coronavirus, but it does not mean that you will develop symptoms. Some people who have the virus don't have any symptoms at all. At the same time, testing negative does not necessarily mean that you don't have the virus. Coronavirus test kit contains primers and probes for real-time reverse-transcriptase PCR, as well as instructions for appropriate use and controls and guidelines to avoid false positives and negatives. ","between one and 14 days after catching the virus, most commonly around five days",
13,51, Availability,Can the CDC stop the state of New York from testing for COVID-19?,,can stop the state of New York from testing for COVID-19,
13,51, Availability,"Having tested positive for COVID-19, will future tests be positive?",,those based on viral genetic material and those based on host immune response,
13,51, Availability,How do I get tested?,,call your healthcare provider and explain your symptoms,
13,51, Availability,How do you get tested for coronavirus?,,call your healthcare provider and explain your symptoms,
13,51, Availability,How is coronavirus tested?,,"a blood test, a swab test inside your nose",
13,51, Availability,Is there a way to test for covid 19 after recovery?,,antibody testing,
13,51, Availability,When should I get tested?,,Your doctor will tell you if you need to get tested.,
13,52, Criteria to be Tested,How can I know if I have the coronavirus and should go for a test?,,self-checker,
13,52, Criteria to be Tested,Should you get tested for Covid-19 if you have a mild cold?,,call your healthcare provider and explain your symptoms,
13,52, Criteria to be Tested,Who is getting tested?,,does not have formal criteria for determining who should be tested,
13,52, Criteria to be Tested,Who should get tested?,,does not have formal criteria for determining who should be tested,
13,53, Methodology,Does testing positive mean that I have the virus and that I will develop symptoms?,,it does not mean that you will develop symptoms,
13,53, Methodology,"How does a Coronavirus ""test kit"" work?",,primers and probes for real-time reverse-transcriptase PCR,
13,53, Methodology,What is involved in testing for the coronavirus? Is it the same as when they do a nasal swab for influenza?,,"a blood test, a swab test inside your nose",
13,54, Price,COVID-19 in US healthcare: who pays for testing?,,The CDC,
14,55, Antibody Immunity,"After recovering from coronavirus, does a person have long-term immunity to the virus?","With “common cold coronaviruses, you don’t actually have immunity that lasts for very long, and so we don’t know the answer with this specific coronavirus,” said Dr. Celine Gounder, a professor of medicine and infectious diseases at the New York University School of Medicine. It seems likely that having the disease once results in immunity in most individuals - as is seen with other coronaviruses. This means that people who initially recovered are more likely to relapse rather than get reinfected with the virus. But, that doesn’t mean it isn’t possible to contract the disease again, especially in those who are immunocompromised. Because COVID-19 is a new virus, we don't know whether pregnant women are more susceptible than the general population. Although people aged under 18 are less susceptible to coronavirus, according to the limited clinical reports available. The degree to which you feel pain depends on your underlying health. Donor blood is not being used to treat coronavirus patients, but transfusions are still needed for cases like organ transplants or complications of childbirth. It's not yet clear whether people can be reinfected by this coronavirus or how long immunity might last after infection. If you do an antibody test, in theory it could show that you had the virus and then recovered. It makes sense to wash unpackaged items such as fruit and vegetables thoroughly under running water, before leaving them to dry. You should also then wash your hands with soap and water. A study of previous coronaviruses found human coronaviruses could theoretically last on surfaces at room temperature for up to nine days. This may vary under different conditions. Covid-19 is the result of a zoonotic outbreak from bats to an intermediate thence to humans.  It is thought that bats don't suffer the disease themselves as they carry low levels of virus but the intermediate host modifies the virus, and amplifies it so that it vastly increases the amount of virus that can shed into the environment infecting humans. There have been no cases of pets or insect passing the coronavirus to humans, and the same was true during the Sars outbreak in 2003, when there was not a single case of pet-to-human transmission. Coronavirus spreads from person to person by droplets from the nose or mouth from coughing or sneezing. People can also catch it by coming into contact with contaminated surfaces or skin. The WHO says ""other people then catch Covid-19 (coronavirus) by touching these objects or surfaces, then touching their eyes, nose or mouth"". There is no evidence that companion animals or pets such as cats and dogs have been infected or could spread the virus that causes COVID-19.",we don’t know the answer,
14,55, Antibody Immunity,Can you be immune to a coronavirus?,,once results in immunity in most individuals,
14,56, Demographics,Are pregnant women at higher risk?,,don't know whether pregnant women are more susceptible,
14,56, Demographics,Can children get coronavirus?,,less susceptible,
14,56, Demographics,How sick will the coronavirus make someone?,,underlying health,
14,57, Donated Blood,Can I give blood?,, still needed for cases,
14,58, Duration of Contagiousness After Recovery,Can infected people who recover get it again?,,not yet clear,
14,58, Duration of Contagiousness After Recovery,Can testing show if someone has had coronavirus and then recovered?,,"If you do an antibody test, in theory it could show that you had the virus and then recovered",
14,59, Possibility of Reinfection,Can you get COVID-19 more than once?,,not yet clear,
14,59, Possibility of Reinfection,Can you catch coronavirus twice?,,not yet clear,
14,60, Shopping Safety,"Is it safe to buy fruit and veg, including salad food that is not in any packaging and if it is not, what should I do to make it safe?",, wash unpackaged items such as fruit and vegetables thoroughly under running water,
14,61, Survivability,How long can coronavirus survive on a surface?,,up to nine days,
14,61, Survivability,How long does coronavirus stay “alive” on surfaces?,,up to nine days,
14,61, Survivability,How long does the virus survive on surfaces?,,up to nine days,
14,62, Animals/Insect,Transmission of COVID-19 through domesticated animals,,a zoonotic outbreak from bats to an intermediate thence to humans,
14,62, Animals/Insect,Can you catch coronavirus from your dog or cat? - Javed,,not a single case of pet-to-human transmission,
14,62, Animals/Insect,Can bedbugs transmit the COVID-19 virus from person to person?,,no cases,
14,62, Animals/Insect,Can I catch COVID-19 from my pet?,,no evidence,
14,62, Animals/Insect,Can I get my pet sick? Can my pet get me sick?,,no evidence,
14,62, Animals/Insect,Can pets get coronavirus?,,no evidence,
14,63, Routes of transmission,How is coronavirus transmitted?,,by droplets from the nose or mouth from coughing or sneezing,
14,63, Routes of transmission,How does the virus spread?,,by droplets from the nose or mouth from coughing or sneezing,
14,63, Routes of transmission,How is it transmitted?,,by droplets from the nose or mouth from coughing or sneezing,
15,64, Medicine,"What are the results so far with the tests of the Z-Pak and malaria med, hydroxychloroquine?","There are no approved therapies or drugs to treat COVID-19. Anecdotal reportssuggest that a known anti-malarial (hydroxychloroquine) combined with a commonantibiotic (azithromycin, sold as Zithromax and Z-Pak) may offer some benefit in the treatment of hospitalized COVID-19 patients. While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. WHO will continue to provide updated information as soon as clinical findings are available.",may offer some benefit in the treatment of hospitalized COVID-19 patients,
15,64, Medicine,Are there any medicines or therapies that can prevent or cure COVID-19?,,no approved therapies or drugs to treat COVID-19,